Edrude_ind 		 Edrude_dhf
     -0.00012936       0.00000301
     -0.00063417       0.00001120
     -0.00012368       0.00000155
     -0.00030697       0.00000495
     -0.00013256       0.00000496
     -0.00159387      -0.00029671
     -0.00056903      -0.00004246
     -0.00014133       0.00000230
     -0.00074918      -0.00001851
     -0.00014451      -0.00000038
     -0.00036110      -0.00000387
     -0.00013932       0.00000333
     -0.00125479      -0.00018112
     -0.00055256      -0.00005353
     -0.00298538      -0.00069979
     -0.00034375      -0.00002770
     -0.00112039      -0.00017081
     -0.00291886      -0.00035779
     -0.00032310      -0.00001398
     -0.00106815      -0.00008624
     -0.00298033      -0.00067397
     -0.00033868      -0.00002549
     -0.00110949      -0.00016090
     -0.00285420       0.00038431
     -0.00899306       0.00056270
     -0.00012274      -0.00000397
     -0.00031309      -0.00001443
     -0.00085441       0.00003303
     -0.00012854       0.00000056
     -0.00036021       0.00000641
     -0.00086970       0.00003409
     -0.00013286       0.00000064
     -0.00036873       0.00000657
     -0.00134276      -0.00019131
     -0.00090149      -0.00009760
     -0.00015203      -0.00000686
     -0.00040708      -0.00002949
     -0.00086798      -0.00010359
     -0.00014368      -0.00000654
     -0.00038835      -0.00002979
     -0.00088314      -0.00008708
     -0.00015182      -0.00000573
     -0.00040241      -0.00002558
     -0.00293929       0.00041896
     -0.00100917       0.00009364
     -0.00130651       0.00012670
     -0.00025279       0.00001875
     -0.00061861       0.00006231
     -0.00156884       0.00027030
     -0.00083151       0.00010540
     -0.00018588       0.00001163
     -0.00042982       0.00004108
     -0.00131024       0.00004378
     -0.00024362       0.00001418
     -0.00061074       0.00003982
     -0.00232677       0.00041597
     -0.00027443       0.00001831
     -0.00087424       0.00010857
     -0.00020795       0.00000904
     -0.00054974       0.00003822
     -0.00079632      -0.00007284
     -0.00014340      -0.00000512
     -0.00036805      -0.00002241
     -0.00323598       0.00055236
     -0.00030795       0.00001891
     -0.00108738       0.00013211
     -0.00087744      -0.00010230
     -0.00018151      -0.00000981
     -0.00043435      -0.00003639
     -0.00094458      -0.00014169
     -0.00019594      -0.00001173
     -0.00046984      -0.00004676
     -0.00086569      -0.00010352
     -0.00017981      -0.00001009
     -0.00042939      -0.00003721
     -0.00051318      -0.00006318
     -0.00025310       0.00001643
     -0.00056488      -0.00005182
     -0.00045719      -0.00005234
     -0.00135616      -0.00025255
     -0.00053297       0.00000126
     -0.00095185      -0.00006574
     -0.00018254      -0.00000713
     -0.00045222      -0.00002524
     -0.00078204      -0.00003853
     -0.00038407      -0.00001353
     -0.00087943      -0.00007538
     -0.00017934      -0.00000745
     -0.00043214      -0.00002735
     -0.00072323      -0.00009184
     -0.00015702      -0.00000820
     -0.00036761      -0.00003153
     -0.00110946      -0.00004595
     -0.00294630      -0.00060687
     -0.00034125      -0.00002266
     -0.00293215      -0.00058930
     -0.00034237      -0.00002240
     -0.00110328      -0.00014105
     -0.00298087      -0.00026007
     -0.00032933      -0.00000976
     -0.00108654      -0.00006124
     -0.00300085      -0.00071353
     -0.00034310      -0.00002788
     -0.00112275      -0.00017308
     -0.00294800      -0.00064295
     -0.00033994      -0.00002506
     -0.00110457      -0.00015568
     -0.00288721      -0.00039387
     -0.00032301      -0.00001585
     -0.00106377      -0.00009649
     -0.00074502       0.00003535
     -0.00012846       0.00000233
     -0.00033838       0.00001083
     -0.00085154       0.00004654
     -0.00013715       0.00000157
     -0.00037152       0.00001054
     -0.00070745      -0.00002497
     -0.00013300      -0.00000205
     -0.00033566      -0.00000796
     -0.00075337      -0.00005175
     -0.00013037      -0.00000292
     -0.00034271      -0.00001405
     -0.00085162      -0.00009470
     -0.00015045      -0.00000689
     -0.00039371      -0.00002917
     -0.00084691      -0.00008315
     -0.00015030      -0.00000590
     -0.00039207      -0.00002523
     -0.00076384      -0.00007929
     -0.00012846      -0.00000537
     -0.00034345      -0.00002345
     -0.00077636      -0.00003436
     -0.00013434      -0.00000200
     -0.00035322      -0.00000942
     -0.00081184       0.00002924
     -0.00013500       0.00000122
     -0.00036087       0.00000738
     -0.00136371       0.00017853
     -0.00016423       0.00000616
     -0.00050984       0.00003860
     -0.00071674      -0.00005277
     -0.00012494      -0.00000401
     -0.00032720      -0.00001646
     -0.00014584       0.00000596
     -0.00042135       0.00002909
     -0.00072007       0.00004993
     -0.00012711       0.00000423
     -0.00033128       0.00001658
     -0.00076354       0.00005845
     -0.00012958       0.00000431
     -0.00034392       0.00001807
     -0.00062708       0.00002844
     -0.00011095       0.00000247
     -0.00028930       0.00000963
     -0.00073370      -0.00003360
     -0.00013852      -0.00000151
     -0.00035018      -0.00000865
     -0.00057678       0.00000506
     -0.00011189       0.00000095
     -0.00027862       0.00000271
